on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
EAST 195 STREET                 ,0,0,0
TRAFFIC AVENUE                  ,0,0,0
STOBE AVENUE                    ,0,0,0
E 170 ST                        ,0,0,0
BEACH 5 STREET                  ,0,0,0
E 34 STREET                     ,0,0,0
E 65TH ST                       ,0,0,0
E FORDHAM RD                    ,0,0,0
BEACH 87 STREET                 ,0,0,0
TOTTEN ROAD                     ,0,0,0
BEACH 99 STREET                 ,0,0,0
SOUTH 9 STREET                  ,0,0,0
STONE STREET                    ,0,0,0
STONEHAM ST                     ,0,0,0
TOTTENVILLE PLACE               ,0,0,0
TOTTEN STREET                   ,0,0,0
196 STREET                      ,0,0,0
TIMPSON PLACE                   ,0,0,0
THORNTON PLACE                  ,0,0,0
BESSEMUND AVENUE                ,0,0,0
BENZIGER AVENUE                 ,0,0,0
THROGS NECK EXPY RAMP           ,0,0,0
STRATFORD ROAD                  ,0,0,0
213 STREET                      ,0,0,0
SOUTH PORTLAND AVENUE           ,0,0,0
BEACH 54 STREET                 ,0,0,0
SOUTH RAILROAD STREET           ,0,0,0
BEACH 86 STREET                 ,0,0,0
EAST 186 STREET                 ,0,0,0
EAST 185 STREET                 ,0,0,0
BENTON STREET                   ,0,0,0
STRICKLAND AVENUE               ,0,0,0
EAST 114 STREET                 ,0,0,0
THROGS NECK BOULEVARD           ,0,0,0
THROGMORTAN AVENUE              ,0,0,0
EAST 148 STREET                 ,0,0,0
BERGEN COURT                    ,0,0,0
THURSTON STREET                 ,0,0,0
20 ROAD                         ,0,0,0
EAST 190 STREET                 ,0,0,0
BERTRAM AVENUE                  ,0,0,0
STAFF STREET                    ,0,0,0
STEENWICK AVENUE                ,0,0,0
TILDEN STREET                   ,0,0,0
2 STREET                        ,0,0,0
TIFFANY PLACE                   ,0,0,0
EAST 107 STREET                 ,0,0,0
TIEMANN PLACE                   ,0,0,0
BERRIMAN STREET                 ,0,0,0
SOUTH PINEHURST AVENUE          ,0,0,0
STADIUM PLACE SOUTH             ,0,0,0
TIEBOUT AVENUE                  ,0,0,0
BERRIAN BOULEVARD               ,0,0,0
BEDFOD AVENUE                   ,0,0,0
JODIE COURT                     ,0,0,0
DOBBIN STREET                   ,0,0,0
WEST 73 STREET                  ,0,0,0
CHARLTON STREET                 ,0,0,0
CHASE COURT                     ,0,0,0
WEST 91 STREET                  ,0,0,0
CHATHAM SQUARE                  ,0,0,0
WEST 88 STREET                  ,0,0,0
CHEEVER PLACE                   ,0,0,0
CHELSEA STREET                  ,0,0,0
CHERRY STREET                   ,0,0,0
CHESTER AVENUE                  ,0,0,0
CHESTERTON AVENUE               ,0,0,0
WEST 82 STREET                  ,0,0,0
CHESTNUT AVENUE                 ,0,0,0
WEST 81  STREET                 ,0,0,0
CHESTNUT CIRCLE                 ,0,0,0
122 PLACE                       ,0,0,0
CHISUM PLACE                    ,0,0,0
CHRISTIE AVENUE                 ,0,0,0
WEST 77 STREET                  ,0,0,0
CHRISTOPHER AVENUE              ,0,0,0
WEST 75 STREET                  ,0,0,0
WEST 74 STREET                  ,0,0,0
CHARLES STREET                  ,0,0,0
CHARLES GAY LOOP                ,0,0,0
CHAPPELL STREET                 ,0,0,0
BRONX PARK SOUTH                ,0,0,0
WEST SERVICE ROAD               ,0,0,0
CENTER BLVD                     ,0,0,0
WEST MOSHOLU PARKWAY SOUTH      ,0,0,0
WEST LOOP ROAD                  ,0,0,0
CENTER PLACE                    ,0,0,0
119 DRIVE                       ,0,0,0
119 ROAD                        ,0,0,0
CENTER STREET                   ,0,0,0
BRONX RIVER PARK                ,0,0,0
12                              ,0,0,0
CHAPIN PARKWAY                  ,0,0,0
WEST END AVE                    ,0,0,0
12 AVENUE SERVICE ROAD          ,0,0,0
WEST CLARKE PLACE               ,0,0,0
WEST CASWELL AVENUE             ,0,0,0
BRONX PARK AVENUE               ,0,0,0
BROCHER ROAD                    ,0,0,0
WEST BOUND DR THEODORE KAZIMIROF,0,0,0
CHANDLER STREET                 ,0,0,0
WEST ALLEY ROAD                 ,0,0,0
WEST 74 ST                      ,0,0,0
CINCINATUS AVENUE               ,0,0,0
COLLEGE POINT BLVD              ,0,0,0
WEST 7 STREET                   ,0,0,0
133 ROAD                        ,0,0,0
CLINTON PLACE                   ,0,0,0
CLOISTER PLACE                  ,0,0,0
135 PLACE                       ,0,0,0
CLOSE AVENUE                    ,0,0,0
CLOVE RD                        ,0,0,0
BRIGHTON 1 PLACE                ,0,0,0
WEST 28 STREET                  ,0,0,0
CODY AVENUE                     ,0,0,0
WEST 263 STREET                 ,0,0,0
CODY PLACE                      ,0,0,0
WEST 261 STREET                 ,0,0,0
WEST 260 STREET                 ,0,0,0
COFFEY STREET                   ,0,0,0
WEST 259 STREET                 ,0,0,0
WEST 255 STREET                 ,0,0,0
WEST 246 STREET                 ,0,0,0
WEST 242 STREET                 ,0,0,0
WEST 240 STREET                 ,0,0,0
COLEMAN STREET                  ,0,0,0
COLFAX STREET                   ,0,0,0
133 DRIVE                       ,0,0,0
BRIGHTON 12 STREET              ,0,0,0
CLIFFORD PLACE                  ,0,0,0
126 AVENUE                      ,0,0,0
WEST 69 STREET                  ,0,0,0
WEST 68 STREET                  ,0,0,0
CIRCLE LOOP                     ,0,0,0
BRINKERHOFF AVENUE              ,0,0,0
WEST 64 STREET                  ,0,0,0
CLARENCE AVENUE                 ,0,0,0
125 AVENUE                      ,0,0,0
BRIGHTON 8 STREET               ,0,0,0
CLARK STREET                    ,0,0,0
126 PLACE                       ,0,0,0
BRIGHTON 13 STREET              ,0,0,0
CLARKE AVENUE                   ,0,0,0
BRIGHTON 6 STREET               ,0,0,0
CLARVIEW EXPRESSWAY             ,0,0,0
CLAUDE AVENUE                   ,0,0,0
128 DRIVE                       ,0,0,0
BRIGHTON 3 STREET               ,0,0,0
CLEARVOEW EXPRESSWAY            ,0,0,0
13 STREET                       ,0,0,0
CLEVELAND PLACE                 ,0,0,0
CENTER 109 DRIVE                ,0,0,0
WEST SHORE EXPRESSWAY RAMP      ,0,0,0
WEST SIDE HIGHWAY               ,0,0,0
118 ROAD                        ,0,0,0
BURGHER AVENUE                  ,0,0,0
BROOKS POND PLACE               ,0,0,0
BURLING STREET                  ,0,0,0
WOODPOINT ROAD                  ,0,0,0
WOODHAVEN COURT                 ,0,0,0
105 AVENUE                      ,0,0,0
BUSH STREET                     ,0,0,0
BUSHWICK AVE                    ,0,0,0
WOOD ROAD                       ,0,0,0
WOLKOFF LANE                    ,0,0,0
WOLCOTT STREET                  ,0,0,0
BUSHWICK PLACE                  ,0,0,0
BUTLER PLACE                    ,0,0,0
WITHERS STREET                  ,0,0,0
BUTTRICK AVENUE                 ,0,0,0
BYRON AVENUE                    ,0,0,0
WINHAM AVENUE                   ,0,0,0
WINGHAM STREET                  ,0,0,0
CABOT ROAD                      ,0,0,0
WINDSOR PLACE                   ,0,0,0
CABRINI BOULEVARD               ,0,0,0
BURBANK AVENUE                  ,0,0,0
BULWER PLACE                    ,0,0,0
BULOVA AVENUE                   ,0,0,0
BUCHANAN PLACE                  ,0,0,0
1 STREET                        ,0,0,0
BROWN PLACE                     ,0,0,0
YOUNG STREET                    ,0,0,0
YOUNG AVENUE                    ,0,0,0
YORK STREET                     ,0,0,0
BRUNSWICK AVENUE                ,0,0,0
YETMAN AVENUE                   ,0,0,0
BROOKYN QNS EXPRESSWAY          ,0,0,0
BRYANT STREET                   ,0,0,0
BUCKINGHAM ROAD                 ,0,0,0
WOODYCREST AVENUE               ,0,0,0
102 AVENUE                      ,0,0,0
WYCKOFF STREET                  ,0,0,0
BUD PLACE                       ,0,0,0
WYATT STREET                    ,0,0,0
102 ROAD                        ,0,0,0
WORTHEN STREET                  ,0,0,0
WOOSTER STREET                  ,0,0,0
BULLARD AVENUE                  ,0,0,0
WOOLEY AVENUE                   ,0,0,0
WINCHESTER AVENUE               ,0,0,0
BROOKLYN QUEENS EXPRESSWAY WEST ,0,0,0
CALHOUN AVENUE                  ,0,0,0
WESTWOOD AVENUE                 ,0,0,0
WHITLOCK AVENUE                 ,0,0,0
WHITESTONE EXPWY                ,0,0,0
WHITESTONE BRIDGE               ,0,0,0
WHITEHALL TERRACE               ,0,0,0
BROOKLYN BRIDGE RAMP            ,0,0,0
CATHEDRAL PLACE                 ,0,0,0
CATHERINE STREET                ,0,0,0
WHEATLEY STREET                 ,0,0,0
CEBRA AVENUE                    ,0,0,0
WESTSIDE AVENUE                 ,0,0,0
CARY AVENUE                     ,0,0,0
WESTMORELAND STREET             ,0,0,0
116 ROAD                        ,0,0,0
WESTGATE STREET                 ,0,0,0
WESTCHSTER AVENUE               ,0,0,0
WESTCHESTER SQUARE              ,0,0,0
117 ROAD                        ,0,0,0
WESTBOURNE AVENUE               ,0,0,0
117 STREET                      ,0,0,0
WEST THAMES STREET              ,0,0,0
WHITMAN AVENUE                  ,0,0,0
WHITTEMORE AVENUE               ,0,0,0
WILLOW STREET                   ,0,0,0
WILLIAMSON AVENUE               ,0,0,0
WILLOW ROAD WEST                ,0,0,0
WILLOW ROAD EAST                ,0,0,0
CAMBRELENG AVENUE               ,0,0,0
CAMBRIA AVENUE                  ,0,0,0
CAMBRIDGE PLACE                 ,0,0,0
WILLIS AVENUE BRIDGE APPROACH   ,0,0,0
WILLIS AVENUE BRIDGE            ,0,0,0
108 AVENUE                      ,0,0,0
BROOKLYN QUEENS EXPRESSWAY W/B  ,0,0,0
11 PLACE                        ,0,0,0
WHITTY LANE                     ,0,0,0
CANEY ROAD                      ,0,0,0
CANNON BOULEVARD                ,0,0,0
BROOKLYN QUEENS EXPRESSWAY SERVI,0,0,0
BROOKLYN QUEENS EXPRESSWAY E/B  ,0,0,0
113 DRIVE                       ,0,0,0
WILKENS AVENUE                  ,0,0,0
CARROLL PLACE                   ,0,0,0
CARSON STREET                   ,0,0,0
WILCOX AVENUE                   ,0,0,0
COLLEGE PLACE                   ,0,0,0
138 PLACE                       ,0,0,0
VESTRY STREET                   ,0,0,0
WALWORTH STREET                 ,0,0,0
DEGROOT PLACE                   ,0,0,0
DEKAY STREET                    ,0,0,0
BISHOP STREET                   ,0,0,0
DELAVALL AVENUE                 ,0,0,0
DELAWARE AVENUE                 ,0,0,0
WATERS EDGE DRIVE               ,0,0,0
WATERLOO PLACE                  ,0,0,0
DELMAR LOOP                     ,0,0,0
163 AVENUE                      ,0,0,0
DELMONICO PLACE                 ,0,0,0
WASHINGTON SQUARE WEST          ,0,0,0
DELONG STREET                   ,0,0,0
WASHINGTON SQUARE NORTH         ,0,0,0
DENIS STREET                    ,0,0,0
DEPOT PLACE                     ,0,0,0
DESARC ROAD                     ,0,0,0
DESMOND COURT                   ,0,0,0
DEVOE AVENUE                    ,0,0,0
WARSOFF PLACE                   ,0,0,0
DEVOE TERRACE                   ,0,0,0
DEWEY PLACE                     ,0,0,0
DEERFIELD ROAD                  ,0,0,0
240 STREET                      ,0,0,0
BIVONA STREET                   ,0,0,0
WERIFIELD STREET                ,0,0,0
BLOSSOM AVENUE                  ,0,0,0
DAVIES ROAD                     ,0,0,0
DAVIS AVENUE                    ,0,0,0
WEST 102 STREET                 ,0,0,0
DE COSTA AVENUE                 ,0,0,0
DE GRAW STREET                  ,0,0,0
16 ROAD                         ,0,0,0
WEST 1 STREET                   ,0,0,0
WES 145 STREET                  ,0,0,0
WENTWORTH AVENUE                ,0,0,0
WAVERLY PLACE                   ,0,0,0
WELLS STREET                    ,0,0,0
WELLER LANE                     ,0,0,0
BLONDELL AVENUE                 ,0,0,0
BLAKE AVE                       ,0,0,0
DEARBORN COURT                  ,0,0,0
DEBEVOISE AVENUE                ,0,0,0
WEBSTER AVE                     ,0,0,0
DEBEVOISE STREET                ,0,0,0
BLACKSTONE AVENUE               ,0,0,0
DEWITT PLACE                    ,0,0,0
WALTON STREET                   ,0,0,0
COLLINS PLACE                   ,0,0,0
169 PLACE                       ,0,0,0
W 42 ST                         ,0,0,0
W 32 ST                         ,0,0,0
W 27TH ST                       ,0,0,0
DILLON STREET                   ,0,0,0
W 238TH ST                      ,0,0,0
W 12 STREET                     ,0,0,0
W 114TH ST                      ,0,0,0
DISOSWAY PLACE                  ,0,0,0
VISITATION PLACE                ,0,0,0
DITMARS                         ,0,0,0
VIRGINIA PLACE                  ,0,0,0
BIRDSALL AVENUE                 ,0,0,0
DITMARS STREET                  ,0,0,0
VINCENT AVENUE                  ,0,0,0
DIVISION PLACE                  ,0,0,0
DIX AVENUE                      ,0,0,0
174 PLACE                       ,0,0,0
VICTOR STREET                   ,0,0,0
DOANE AVENUE                    ,0,0,0
VETERANS ROAD EAST              ,0,0,0
174 STREET                      ,0,0,0
W 44 STREET                     ,0,0,0
W 47 STREET                     ,0,0,0
W 48 STREET                     ,0,0,0
DIGNEY AVENUE                   ,0,0,0
DIAMOND STREET                  ,0,0,0
DICKENS STREET                  ,0,0,0
DICKINSON AVENUE                ,0,0,0
WALL STREET                     ,0,0,0
DIETERLE CRESCENT               ,0,0,0
17 ROAD                         ,0,0,0
WALDRON STREET                  ,0,0,0
WALDORF COURT                   ,0,0,0
WALDO AVENUE                    ,0,0,0
WAKEFIELD AVENUE                ,0,0,0
W 51ST ST                       ,0,0,0
DIKEMAN STREET                  ,0,0,0
WADSWORTH TERRACE               ,0,0,0
170 PLACE                       ,0,0,0
W/B NORTHER BLVD                ,0,0,0
W 58 STREET                     ,0,0,0
W 56 STREET                     ,0,0,0
W 54 ST                         ,0,0,0
W 53RD ST                       ,0,0,0
W 53 ST                         ,0,0,0
DAVID SHERIDAN PLAZA            ,0,0,0
DASH PLACE                      ,0,0,0
DARTMOUTH STREET                ,0,0,0
DARREN DRIVE                    ,0,0,0
CONCOURSE VILLAGE WEST          ,0,0,0
WEST 198                        ,0,0,0
WEST 197 STREET                 ,0,0,0
CONGRESS STREET                 ,0,0,0
WEST 192 STREET                 ,0,0,0
CONSELYEA STREET                ,0,0,0
WEST 189 STREET                 ,0,0,0
COOK STREET                     ,0,0,0
COONLEY COURT                   ,0,0,0
CORBETT ROAD                    ,0,0,0
CORLEAR AVENUE                  ,0,0,0
CORNAGA COURT                   ,0,0,0
BOUNDARY AVENUE                 ,0,0,0
CORSA AVENUE                    ,0,0,0
142 PLACE                       ,0,0,0
143 ROAD                        ,0,0,0
CORSON AVENUE                   ,0,0,0
144 DRIVE                       ,0,0,0
COUNTRY CLUB ROAD               ,0,0,0
COURT SQUARE                    ,0,0,0
BOTANICAL SQUARE                ,0,0,0
WEST 20 STREET                  ,0,0,0
COMSTOCK AVENUE                 ,0,0,0
COMPTON AVENUE                  ,0,0,0
BRIDGE STREET                   ,0,0,0
COLON AVENUE                    ,0,0,0
WEST 233 STREET                 ,0,0,0
WEST 232 STREET                 ,0,0,0
COLONIAL AVENUE                 ,0,0,0
COLUMBIA HEIGHTS                ,0,0,0
WEST 228 STREET                 ,0,0,0
WEST 227 STREET                 ,0,0,0
BRIDGETON STREET                ,0,0,0
WEST 220 STREET                 ,0,0,0
COLUMBUS CIRCLE                 ,0,0,0
WEST 205 STREET                 ,0,0,0
WEST 216 STREET                 ,0,0,0
COLUMBUS PLACE                  ,0,0,0
WEST 214 STREET                 ,0,0,0
BRANDT PLACE                    ,0,0,0
WEST 212 STREET                 ,0,0,0
WEST 211 STREET                 ,0,0,0
COMMERCE STREET                 ,0,0,0
COMMONWLTH AVENUE               ,0,0,0
WEST 206 STREET                 ,0,0,0
145 DRIVE                       ,0,0,0
COWEN PLACE                     ,0,0,0
COYLE STREET                    ,0,0,0
CURTIS PLACE                    ,0,0,0
151 STREET                      ,0,0,0
152 AVENUE                      ,0,0,0
WEST 13 STREET                  ,0,0,0
153 AVENUE                      ,0,0,0
CRYSTAL AVENUE                  ,0,0,0
CRYSTAL STREET                  ,0,0,0
153 LANE                        ,0,0,0
154 STREEET                     ,0,0,0
CUMBERLAND STREET               ,0,0,0
CURZON ROAD                     ,0,0,0
CROTONA PARK SOUTH              ,0,0,0
CUTHBERT ROAD                   ,0,0,0
CYPRESS AVE                     ,0,0,0
156 AVENUE                      ,0,0,0
BODINE STREET                   ,0,0,0
DAHLIA AVENUE                   ,0,0,0
DALY AVENUE                     ,0,0,0
DANIEL LOW TERRACE              ,0,0,0
DANIELS STREET                  ,0,0,0
BLUCKNER BLVD                   ,0,0,0
151 AVENUE                      ,0,0,0
150 PLACE                       ,0,0,0
CRABTREE AVENUE                 ,0,0,0
WEST 153 STREET                 ,0,0,0
CRAFT AVENUE                    ,0,0,0
CREAMER STREET                  ,0,0,0
CRESCENT AVENUE                 ,0,0,0
146 AVENUE                      ,0,0,0
BOSCOBEL PLACE                  ,0,0,0
CRESKILL PLACE                  ,0,0,0
BOROUGH PLACE                   ,0,0,0
146 DRIVE                       ,0,0,0
CROMMELIN STREET                ,0,0,0
146 ROAD                        ,0,0,0
CROTONA PARK EAST               ,0,0,0
CROSS BRONX EXPRESSWAY EXTENSION,0,0,0
147 ROAD                        ,0,0,0
WEST 145 ST BRIDGE              ,0,0,0
148 AVENUE                      ,0,0,0
CROSS BRONX EXPWY SERVICE ROAD  ,0,0,0
BOLIVAR STREET                  ,0,0,0
BOGART AVENUE                   ,0,0,0
CROSS ISLAND PARKWAY SR         ,0,0,0
CROSS ISLAND PKWY SERVICE RD    ,0,0,0
WAVE STREET                     ,0,0,0
BAY COURT                       ,0,0,0
242 STREET                      ,0,0,0
67 AVE                          ,0,0,0
METRO AVENUE                    ,0,0,0
HALL PLACE                      ,0,0,0
HALL STREET                     ,0,0,0
HALPIN AVENUE                   ,0,0,0
MERSEREAU AVENUE                ,0,0,0
MERRYMOUNT STREET               ,0,0,0
MERRY AVENUE                    ,0,0,0
MERRITT AVENUE                  ,0,0,0
MERRILL STREET                  ,0,0,0
HAMILTON AVE                    ,0,0,0
MERLE PLACE                     ,0,0,0
67 DRIVE                        ,0,0,0
ARCHER ROAD                     ,0,0,0
MERIDIAN RD                     ,0,0,0
MEREDITH AVENUE                 ,0,0,0
HAMILTON TERRACE                ,0,0,0
HAMPDEN PLACE                   ,0,0,0
MEMPHIS STREET                  ,0,0,0
MEMPHIS AVENUE                  ,0,0,0
MELVILLE STREET                 ,0,0,0
MELROSE STREET                  ,0,0,0
MELBOURNE AVENUE                ,0,0,0
66 PLACE                        ,0,0,0
METROPOLITAN OVAL               ,0,0,0
METROPOLITIAN AVENUE            ,0,0,0
MEXICO STREET                   ,0,0,0
GREENWAY SOUTH                  ,0,0,0
MONROE PLACE                    ,0,0,0
MOHEGAN AVENUE                  ,0,0,0
MINTON STREET                   ,0,0,0
MINNA STREET                    ,0,0,0
MINFORD PLACE                   ,0,0,0
MILTON AVENUE                   ,0,0,0
GREYSTONE AVENUE                ,0,0,0
GRIMSBY STREET                  ,0,0,0
MILL STREET                     ,0,0,0
MILL ROAD                       ,0,0,0
GROTE STREET                    ,0,0,0
GUERLAIN STREET                 ,0,0,0
GUERNSEY STREET                 ,0,0,0
MILBURN STREET                  ,0,0,0
GULF AVENUE                     ,0,0,0
GUNTHER PLACE                   ,0,0,0
MIDDLEMAY CIRCLE                ,0,0,0
MIDDAGH STREET                  ,0,0,0
HALE STREET                     ,0,0,0
MEYER AVENUE                    ,0,0,0
MEISNER AVENUE                  ,0,0,0
HANCOCK STREEET                 ,0,0,0
MARENGO STREET                  ,0,0,0
HASTINGS STREET                 ,0,0,0
MATHEWS AVENUE                  ,0,0,0
HARRINGTON AVENUE               ,0,0,0
MARVIN ROAD                     ,0,0,0
MARTIN LUTHER KING JR PL        ,0,0,0
HARRISON STREET                 ,0,0,0
MARTHA AVENUE                   ,0,0,0
BRUCKNER BLVD                   ,0,0,0
MARSCHER PLACE                  ,0,0,0
HART PLACE                      ,0,0,0
HARVEST AVENUE                  ,0,0,0
MARKWOOD ROAD                   ,0,0,0
MEADOW LANE                     ,0,0,0
MARKET STREET                   ,0,0,0
HATFIELD PLACE                  ,0,0,0
MARION STREET                   ,0,0,0
HAVEN AVENUE                    ,0,0,0
MARINERS LANE                   ,0,0,0
MARINE WAY                      ,0,0,0
HAWTHORNE AVENUE                ,0,0,0
MARINE PARKWAY                  ,0,0,0
MARINE AVENUE                   ,0,0,0
MARINA ROAD                     ,0,0,0
MATTHEWSON ROAD                 ,0,0,0
HARPER AVENUE                   ,0,0,0
MAURICE                         ,0,0,0
MAURICE AVE                     ,0,0,0
MEADOW LAKE DRIVE               ,0,0,0
APOLLO STREET                   ,0,0,0
MCGRAW AVENUE                   ,0,0,0
MCDONALD STREET                 ,0,0,0
HANOVER AVENUE                  ,0,0,0
MCCORMICK PLACE                 ,0,0,0
HANSON PLACE                    ,0,0,0
HARDING EXPRESSWAY              ,0,0,0
MCBAINE AVENUE                  ,0,0,0
HARING STREET                   ,0,0,0
MC KENNY STREET                 ,0,0,0
MC KENNY SQUARE                 ,0,0,0
MC KEEVER PLACE                 ,0,0,0
67 PLACE                        ,0,0,0
ANTHONY STREET                  ,0,0,0
MC GUINNESS BLVD                ,0,0,0
MC CLANCY PLACE                 ,0,0,0
MAYFLOWER AVENUE                ,0,0,0
HARMAN STRRET                   ,0,0,0
HAROLD AVENUE                   ,0,0,0
HAROLD STREET                   ,0,0,0
MONTAGUE STREET                 ,0,0,0
GREENWAY DRIVE                  ,0,0,0
ARDEN AVE                       ,0,0,0
59 ROAD                         ,0,0,0
58 PLACE                        ,0,0,0
GERANIUM AVENUE                 ,0,0,0
ATLANTIC AVE                    ,0,0,0
GERVIL STREET                   ,0,0,0
GILLESPIE AVENUE                ,0,0,0
GIPSON STREET                   ,0,0,0
GLASSBORO AVENUE                ,0,0,0
ASTORIA BLVD NORTH              ,0,0,0
GLEBE AVENUE                    ,0,0,0
59 PLACE                        ,0,0,0
ASPINWALL STREET                ,0,0,0
MONTGOMERY AVENUE               ,0,0,0
NEPTUNE LANE                    ,0,0,0
GLENWOOD STREET                 ,0,0,0
NELLIS STREET                   ,0,0,0
GOLD ROAD                       ,0,0,0
GOODWIN PLACE                   ,0,0,0
NAVESINK PLACE                  ,0,0,0
NAUGHTON AVENUE                 ,0,0,0
60 LANE                         ,0,0,0
ASHLAND AVENUE                  ,0,0,0
GOTHIC DRIVE                    ,0,0,0
NEWEL STREET                    ,0,0,0
NEWELL STREET                   ,0,0,0
58 LANE                         ,0,0,0
GENESEE AVENUE                  ,0,0,0
GALLATIN PLACE                  ,0,0,0
GALVIN AVENUE                   ,0,0,0
NORTH 14 STREET                 ,0,0,0
NORTH 12 STREET                 ,0,0,0
GARDNER AVENUE                  ,0,0,0
NORMAN STREET                   ,0,0,0
GARFIELD AVENUE                 ,0,0,0
NORFOLK STREET                  ,0,0,0
GARFIELD PLACE                  ,0,0,0
AUBURN PLACE                    ,0,0,0
NOEL ROAD                       ,0,0,0
NOEL AVENUE                     ,0,0,0
NOBLE STREET                    ,0,0,0
GATEWAY BOULEVARD               ,0,0,0
NIPPON AVENUE                   ,0,0,0
GAULDY AVENUE                   ,0,0,0
NEWTOWN AVENUE                  ,0,0,0
NEWTOWN AVE                     ,0,0,0
NEWTON STREET                   ,0,0,0
58 DRIVE                        ,0,0,0
GEM STREET                      ,0,0,0
NASSAU PLACE                    ,0,0,0
ASH AVENUE                      ,0,0,0
GOUVERNEUR AVENUE               ,0,0,0
ARNOLD AVENUE                   ,0,0,0
MOTHER GASTON AVENUE            ,0,0,0
MOSHOLU PARKWAY EXTENSION       ,0,0,0
62 ROAD                         ,0,0,0
GRANITE STREET                  ,0,0,0
GRANT AVE                       ,0,0,0
MORTON STREET                   ,0,0,0
GRANT AVENUE                    ,0,0,0
MORRIS STREET                   ,0,0,0
GRANTWOOD AVENUE                ,0,0,0
GRATTAN STREET                  ,0,0,0
MORNINGSIDE DRIVE               ,0,0,0
GREENCROFT AVENUE               ,0,0,0
MORNINGSIDE AVE                 ,0,0,0
MORGAN PLACE                    ,0,0,0
64 CIRCLE                       ,0,0,0
64 PLACE                        ,0,0,0
MOORE PLACE                     ,0,0,0
MONTVALE PLACE                  ,0,0,0
ARDEN STREET                    ,0,0,0
GREENE STREET                   ,0,0,0
GREENFIELD AVENUE               ,0,0,0
GRANGER STREET                  ,0,0,0
62 DR                           ,0,0,0
GOUVERNEUR PLACE                ,0,0,0
GRAND CENTRAL PARKWAY SERVICE RO,0,0,0
NASHVILLE STREET                ,0,0,0
NASHVILLE BOULEVARD             ,0,0,0
60 ROAD                         ,0,0,0
NARROWS AVENUE                  ,0,0,0
NAPLES TERRACE                  ,0,0,0
NANCY LANE                      ,0,0,0
NAMEOKE AVENUE                  ,0,0,0
N. CONDUIT AVE                  ,0,0,0
N BOUNDARY RD                   ,0,0,0
61 DRIVE                        ,0,0,0
MUSKET STREET                   ,0,0,0
GRAMERCY PARK NORTH             ,0,0,0
MURIAL COURT                    ,0,0,0
61 ROAD                         ,0,0,0
MUNDY LANE                      ,0,0,0
MULBERRY STREET                 ,0,0,0
MT. OLIVER CRESCENT             ,0,0,0
MOUNT OLIVET CRESCENT           ,0,0,0
GRAND AV                        ,0,0,0
62 AVENUE                       ,0,0,0
ARNOW PLACE                     ,0,0,0
HAWTREE CREEK ROAD              ,0,0,0
HEANEY AVENUE                   ,0,0,0
GALE AVENUE                     ,0,0,0
LAHN STREET                     ,0,0,0
HUNT AVENUE                     ,0,0,0
LAMONT AVENUE                   ,0,0,0
LAMOKA AVENUE                   ,0,0,0
HUNTER STREET                   ,0,0,0
HUNTERFLY PLACE                 ,0,0,0
HUNTINGTON AVENUE               ,0,0,0
HUNTINGTON STREET               ,0,0,0
ALASKA STREET                   ,0,0,0
HURST STREET                    ,0,0,0
LAIGHT STREET                   ,0,0,0
HUSSON AVENUE                   ,0,0,0
8TH AVE                         ,0,0,0
HUSSON STREET                   ,0,0,0
LAFONTAINE AVENUE               ,0,0,0
ALANTIC AVE                     ,0,0,0
88 LANE                         ,0,0,0
89 SAINT NICHOLAS PLACE         ,0,0,0
HUTCHINSON RIVER PARKWAY EAST   ,0,0,0
HUXLEY AVENUE                   ,0,0,0
L.I.E / G.C.P (CDR)             ,0,0,0
KRAMER STREET                   ,0,0,0
KOSSUTH PLACE                   ,0,0,0
LANCASTER AVENUE                ,0,0,0
LANDING ROAD                    ,0,0,0
LANSING AVENUE                  ,0,0,0
LASALLE STREET                  ,0,0,0
LENOX AVE                       ,0,0,0
HOWARD STREET                   ,0,0,0
LEGION STREET                   ,0,0,0
LEFFERTS PLACE                  ,0,0,0
86 CRESCENT                     ,0,0,0
LEFFERTS BLVD                   ,0,0,0
HUBBARD PLACE                   ,0,0,0
HUDSON AVENUE                   ,0,0,0
LEBANON STREET                  ,0,0,0
HUE GRANT J CIRCLE              ,0,0,0
LAYTON STREET                   ,0,0,0
LAX AVENUE                      ,0,0,0
HUGH J GRANT CIRCLE             ,0,0,0
HUGHES AVENUE                   ,0,0,0
HULL AVENUE                     ,0,0,0
LAURIE AVENUE                   ,0,0,0
87 DRIVE                        ,0,0,0
LAUREL HILL TERRACE             ,0,0,0
ALBEE AVENUE                    ,0,0,0
HUNGRY HARBOR ROAD              ,0,0,0
LATIMER PLACE                   ,0,0,0
KOSSUTH AVENUE                  ,0,0,0
KOSCIUSKO BRIDGE                ,0,0,0
ANDERSON ROAD                   ,0,0,0
JASMINE AVENUE                  ,0,0,0
97 PLACE                        ,0,0,0
JACKSON MILL ROAD               ,0,0,0
KELL AVENUE                     ,0,0,0
KEEGANS LANE                    ,0,0,0
JACOBUS PLACE                   ,0,0,0
JAKE COURT                      ,0,0,0
JAMAICA AVE                     ,0,0,0
JAMES STREET                    ,0,0,0
KANE STREET                     ,0,0,0
KALMIA AVENUE                   ,0,0,0
JEANETTE AVENUE                 ,0,0,0
AGUILAR AVENUE                  ,0,0,0
97TH AVENUE                     ,0,0,0
JEROME AVE                      ,0,0,0
