on_street_name,number_of_persons_injured,number_of_persons_killed,number_of_persons_harmed
48 STREET                       ,19,0,19
AVENUE B                        ,19,0,19
LEWIS AVENUE                    ,19,0,19
ARDEN AVENUE                    ,18,1,19
WYTHE AVENUE                    ,19,0,19
HALSEY STREET                   ,19,0,19
MADISON STREET                  ,19,0,19
49 STREET                       ,19,0,19
COZINE AVENUE                   ,19,0,19
ROCKAWAY FREEWAY                ,18,1,19
FRESH POND ROAD                 ,19,0,19
82 STREET                       ,19,0,19
168 STREET                      ,19,0,19
EAST 37 STREET                  ,19,0,19
HENRY HUDSON PARKWAY RAMP       ,19,0,19
WEST BURNSIDE AVENUE            ,19,0,19
STEINWAY STREET                 ,19,0,19
AVENUE S                        ,19,0,19
NAGLE AVENUE                    ,19,0,19
PELHAM PARKWAY SOUTH            ,19,0,19
WEST 141 STREET                 ,19,0,19
BRONXWOOD AVENUE                ,19,0,19
AVENUE X                        ,19,0,19
92 STREET                       ,19,0,19
QUEENSBORO BRIDGE UPPER         ,18,0,18
188 STREET                      ,18,0,18
EAST 179 STREET                 ,18,0,18
EAST 23 STREET                  ,18,0,18
VANDAM STREET                   ,18,0,18
EAST 167 STREET                 ,18,0,18
149 STREET                      ,18,0,18
AVENUE I                        ,18,0,18
COLUMBUS AVENUE                 ,18,0,18
SHERMAN AVENUE                  ,18,0,18
SHERIDAN EXPRESSWAY             ,18,0,18
BARNES AVENUE                   ,18,0,18
QUENTIN ROAD                    ,18,0,18
WILLIAMS AVENUE                 ,18,0,18
TILLARY STREET                  ,18,0,18
CYPRESS HILLS STREET            ,18,0,18
94 STREET                       ,17,0,17
99 AVENUE                       ,17,0,17
BELL BOULEVARD                  ,17,0,17
PAULDING AVENUE                 ,17,0,17
EAST 222 STREET                 ,17,0,17
37 STREET                       ,17,0,17
EAST 92 STREET                  ,17,0,17
WILLIAMSBRIDGE ROAD             ,17,0,17
CLOVE ROAD                      ,15,2,17
KOREAN WAR VETS PARKWAY         ,17,0,17
32 AVENUE                       ,17,0,17
89 AVENUE                       ,17,0,17
EAST 176 STREET                 ,17,0,17
EAST 87 STREET                  ,17,0,17
DITMAS AVENUE                   ,17,0,17
33 STREET                       ,17,0,17
MC GUINNESS BOULEVARD           ,16,1,17
WEST 170 STREET                 ,17,0,17
AVENUE Z                        ,17,0,17
BAY RIDGE AVENUE                ,16,0,16
51 STREET                       ,16,0,16
MARCY AVENUE                    ,16,0,16
68 STREET                       ,16,0,16
MACOMBS DAM BRIDGE              ,16,0,16
NARROWS ROAD NORTH              ,16,0,16
LORIMER STREET                  ,16,0,16
WILLIS AVE BRIDGE               ,16,0,16
LIVINGSTON STREET               ,16,0,16
EAST 59 STREET                  ,16,0,16
EUCLID AVENUE                   ,16,0,16
58 STREET                       ,16,0,16
PELHAM PARKWAY                  ,16,0,16
85 STREET                       ,16,0,16
EAST 42 STREET                  ,16,0,16
WEST 181 STREET                 ,16,0,16
MARCUS GARVEY BOULEVARD         ,16,0,16
RUTLAND ROAD                    ,16,0,16
HUNTS POINT AVENUE              ,15,1,16
REID AVENUE                     ,16,0,16
CATON AVENUE                    ,16,0,16
EAST 169 STREET                 ,16,0,16
FRANKLIN STREET                 ,15,1,16
127 STREET                      ,16,0,16
FEATHERBED LANE                 ,16,0,16
AVENUE R                        ,15,0,15
146 STREET                      ,15,0,15
EAST BEDFORD PARK BOULEVARD     ,15,0,15
LOTT AVENUE                     ,15,0,15
OGDEN AVENUE                    ,15,0,15
TIFFANY STREET                  ,14,1,15
BERGEN STREET                   ,15,0,15
DECATUR STREET                  ,15,0,15
EAST 106 STREET                 ,15,0,15
EAST 86 STREET                  ,15,0,15
SANFORD AVENUE                  ,15,0,15
EAST 14 STREET                  ,14,1,15
WEST 57 STREET                  ,15,0,15
AVENUE V                        ,14,1,15
50 STREET                       ,15,0,15
AVENUE O                        ,15,0,15
SLOSSON AVENUE                  ,15,0,15
AVENUE H                        ,15,0,15
FILLMORE AVENUE                 ,15,0,15
DYCKMAN STREET                  ,15,0,15
EAST 184 STREET                 ,15,0,15
PEARL STREET                    ,15,0,15
BRONX RIVER AVENUE              ,15,0,15
45 AVENUE                       ,15,0,15
QUEENSBORO BRIDGE               ,15,0,15
VALENTINE AVENUE                ,15,0,15
MAURICE AVENUE                  ,15,0,15
CONNER STREET                   ,15,0,15
HUMBOLDT STREET                 ,14,0,14
YORK AVENUE                     ,14,0,14
16 AVENUE                       ,14,0,14
102 STREET                      ,14,0,14
NEWPORT STREET                  ,14,0,14
EAST 196 STREET                 ,14,0,14
BRONX PARK EAST                 ,14,0,14
MURDOCK AVENUE                  ,14,0,14
133 AVENUE                      ,14,0,14
30 AVENUE                       ,14,0,14
222 STREET                      ,14,0,14
EAST 228 STREET                 ,14,0,14
EAST 177 STREET                 ,14,0,14
15 AVENUE                       ,14,0,14
FDR DRIVE RAMP                  ,14,0,14
VAN SICLEN AVENUE               ,14,0,14
PACIFIC STREET                  ,14,0,14
19 AVENUE                       ,14,0,14
SHORE BOULEVARD                 ,14,0,14
155 STREET                      ,14,0,14
EAST 170 STREET                 ,13,0,13
66 STREET                       ,13,0,13
70 STREET                       ,13,0,13
LITTLE NECK PARKWAY             ,13,0,13
MOTT AVENUE                     ,13,0,13
SHORE ROAD                      ,12,1,13
147 AVENUE                      ,13,0,13
DEAN STREET                     ,13,0,13
GERARD AVENUE                   ,13,0,13
74 STREET                       ,13,0,13
MANOR ROAD                      ,12,1,13
EDGECOMBE AVENUE                ,13,0,13
PARKSIDE AVENUE                 ,13,0,13
KINGSLAND AVENUE                ,13,0,13
HICKS STREET                    ,13,0,13
RANDALL AVENUE                  ,13,0,13
129 STREET                      ,13,0,13
47 STREET                       ,13,0,13
WORTMAN AVENUE                  ,13,0,13
137 AVENUE                      ,13,0,13
104 STREET                      ,13,0,13
PARK PLACE                      ,13,0,13
84 STREET                       ,13,0,13
EAST 12 STREET                  ,13,0,13
EAST 51 STREET                  ,13,0,13
PROSPECT EXPRESSWAY RAMP        ,13,0,13
160 STREET                      ,13,0,13
BAINBRIDGE AVENUE               ,13,0,13
HARLEM RIVER DRIVE RAMP         ,13,0,13
59 STREET                       ,13,0,13
ARCHER AVENUE                   ,13,0,13
WEST 42 STREET                  ,12,0,12
CONDUIT BOULEVARD               ,11,1,12
ALLEN STREET                    ,12,0,12
AVENUE C                        ,12,0,12
96 STREET                       ,12,0,12
MANHATTAN BR UPPER              ,12,0,12
JAY STREET                      ,12,0,12
EAST 132 STREET                 ,12,0,12
EAST 98 STREET                  ,12,0,12
HERKIMER STREET                 ,12,0,12
118 AVENUE                      ,12,0,12
CHRYSTIE STREET                 ,12,0,12
WEST KINGSBRIDGE ROAD           ,12,0,12
WEST 9 STREET                   ,12,0,12
ZEREGA AVENUE                   ,12,0,12
FOUNTAIN AVENUE                 ,12,0,12
91 STREET                       ,12,0,12
EAST 110 STREET                 ,12,0,12
88 STREET                       ,12,0,12
CLAREMONT PARKWAY               ,12,0,12
LOGAN STREET                    ,12,0,12
WYCKOFF AVENUE                  ,12,0,12
EAST MOSHOLU PARKWAY SOUTH      ,12,0,12
EAST 112 STREET                 ,12,0,12
QUEENSBORO BRIDGE LOWER         ,12,0,12
DAHILL ROAD                     ,12,0,12
EAST 38 STREET                  ,12,0,12
PARK AVENUE SOUTH               ,12,0,12
221 STREET                      ,12,0,12
EAST 240 STREET                 ,12,0,12
45 STREET                       ,12,0,12
EAST 62 STREET                  ,12,0,12
40 STREET                       ,12,0,12
EAST 188 STREET                 ,12,0,12
39 AVENUE                       ,12,0,12
QUEENSBORO BRIDGE UPPER ROADWAY ,12,0,12
WEST 115 STREET                 ,12,0,12
MORGAN AVENUE                   ,12,0,12
EAST 175 STREET                 ,12,0,12
EAST 173 STREET                 ,12,0,12
WEST 140 STREET                 ,12,0,12
24 STREET                       ,12,0,12
114 STREET                      ,12,0,12
SMITH STREET                    ,12,0,12
CASTLETON AVENUE                ,11,0,11
ADEE AVENUE                     ,11,0,11
69 ROAD                         ,11,0,11
JEWEL AVENUE                    ,11,0,11
EMMONS AVENUE                   ,11,0,11
ELDERTS LANE                    ,11,0,11
90 STREET                       ,11,0,11
SOUND VIEW AVENUE               ,11,0,11
CITY ISLAND ROAD                ,9,2,11
138 STREET                      ,11,0,11
BATH AVENUE                     ,11,0,11
WILLIAMSBURG BRIDGE INNER ROADWA,11,0,11
EAST 53 STREET                  ,11,0,11
STUYVESANT AVENUE               ,11,0,11
SEWARD AVENUE                   ,11,0,11
GERRITSEN AVENUE                ,11,0,11
BERRY STREET                    ,11,0,11
SENECA AVENUE                   ,11,0,11
BAILEY AVENUE                   ,11,0,11
122 STREET                      ,11,0,11
SAINT MARKS AVENUE              ,11,0,11
BOND STREET                     ,11,0,11
AVENUE W                        ,11,0,11
WEST 116 STREET                 ,11,0,11
35 STREET                       ,11,0,11
ASHFORD STREET                  ,11,0,11
WEST 195 STREET                 ,11,0,11
HOLLIS AVENUE                   ,11,0,11
EAST 141 STREET                 ,11,0,11
201 STREET                      ,11,0,11
223 STREET                      ,11,0,11
WEST 127 STREET                 ,11,0,11
17 AVENUE                       ,11,0,11
JEFFERSON STREET                ,11,0,11
VARICK STREET                   ,11,0,11
MILLER AVENUE                   ,11,0,11
NEREID AVENUE                   ,11,0,11
CLINTON STREET                  ,11,0,11
71 STREET                       ,11,0,11
EAST 85 STREET                  ,11,0,11
149 AVENUE                      ,11,0,11
71 AVENUE                       ,11,0,11
61 STREET                       ,11,0,11
EAST 57 STREET                  ,11,0,11
STERLING PLACE                  ,11,0,11
41 STREET                       ,10,0,10
POST AVENUE                     ,10,0,10
79 STREET                       ,10,0,10
WILLIAMSBURG STREET WEST        ,10,0,10
MORRISON AVENUE                 ,10,0,10
143 AVENUE                      ,10,0,10
44 STREET                       ,10,0,10
EAST 181 STREET                 ,10,0,10
HUGUENOT AVENUE                 ,10,0,10
EAST 139 STREET                 ,10,0,10
ERSKINE STREET                  ,10,0,10
LONG ISLAND EXPRESSWAY (CDR)    ,10,0,10
130 AVENUE                      ,10,0,10
HINSDALE STREET                 ,10,0,10
EAST 99 STREET                  ,10,0,10
WEST 131 STREET                 ,10,0,10
WILLIS AVENUE                   ,10,0,10
EAST 178 STREET                 ,10,0,10
126 STREET                      ,10,0,10
116 AVENUE                      ,10,0,10
WEST 169 STREET                 ,10,0,10
VERRAZANO BRIDGE                ,10,0,10
SKILLMAN AVENUE                 ,10,0,10
177 STREET                      ,10,0,10
24 AVENUE                       ,9,1,10
AUSTIN STREET                   ,10,0,10
SHELL ROAD                      ,10,0,10
EAST 172 STREET                 ,10,0,10
DAVIDSON AVENUE                 ,10,0,10
ARLINGTON AVENUE                ,10,0,10
ROCKLAND AVENUE                 ,10,0,10
199 STREET                      ,10,0,10
CHAMBERS STREET                 ,10,0,10
FOREST HILL ROAD                ,10,0,10
EAST 241 STREET                 ,10,0,10
76 STREET                       ,10,0,10
STORY AVENUE                    ,10,0,10
81 AVENUE                       ,10,0,10
CLEVELAND STREET                ,10,0,10
KNAPP STREET                    ,10,0,10
WILLOUGHBY AVENUE               ,10,0,10
57 STREET                       ,10,0,10
EAST 27 STREET                  ,10,0,10
ORCHARD BEACH ROAD              ,10,0,10
91 AVENUE                       ,10,0,10
EAST 29 STREET                  ,10,0,10
LEFFERTS AVENUE                 ,10,0,10
PATCHEN AVENUE                  ,10,0,10
ROEBLING STREET                 ,9,0,9
CORONA AVENUE                   ,9,0,9
CHESTER STREET                  ,8,1,9
55 STREET                       ,9,0,9
WEST 6 STREET                   ,9,0,9
65 PLACE                        ,9,0,9
CARPENTER AVENUE                ,8,1,9
BROOKLYN BATTERY TUNNEL         ,9,0,9
28 AVENUE                       ,9,0,9
WEST 179 STREET                 ,9,0,9
KOSCIUSZKO STREET               ,9,0,9
57 AVENUE                       ,9,0,9
BOERUM PLACE                    ,9,0,9
28 STREET                       ,9,0,9
EAST 36 STREET                  ,9,0,9
HANCOCK STREET                  ,9,0,9
WATER STREET                    ,9,0,9
56 STREET                       ,9,0,9
EAST 117 STREET                 ,9,0,9
WEST 239 STREET                 ,9,0,9
EAST 17 STREET                  ,9,0,9
22 STREET                       ,9,0,9
EAST 144 STREET                 ,9,0,9
CLINTON AVENUE                  ,9,0,9
MARION AVENUE                   ,9,0,9
EAST 151 STREET                 ,9,0,9
EAST 52 STREET                  ,9,0,9
241 STREET                      ,9,0,9
EAST DRIVE                      ,8,1,9
23 STREET                       ,9,0,9
WEST END AVENUE                 ,8,1,9
UNDERHILL AVENUE                ,9,0,9
EAST 94 STREET                  ,9,0,9
MERMAID AVENUE                  ,9,0,9
25 AVENUE                       ,9,0,9
225 STREET                      ,9,0,9
EAST 95 STREET                  ,9,0,9
CONVENT AVENUE                  ,9,0,9
MACOMBS ROAD                    ,9,0,9
WEST 3 STREET                   ,9,0,9
EAST 88 STREET                  ,9,0,9
LINDEN PLACE                    ,9,0,9
THOMSON AVENUE                  ,9,0,9
HUTCHINSON RIVER PARKWAY RAMP   ,9,0,9
COURT STREET                    ,9,0,9
77 STREET                       ,9,0,9
EAST 120 STREET                 ,9,0,9
113 AVENUE                      ,9,0,9
220 STREET                      ,9,0,9
ALEXANDER HAMILTON BRIDGE       ,9,0,9
42 STREET                       ,9,0,9
95 AVENUE                       ,9,0,9
154 STREET                      ,9,0,9
EAST 126 STREET                 ,9,0,9
95 STREET                       ,9,0,9
217 STREET                      ,9,0,9
38 AVENUE                       ,9,0,9
219 STREET                      ,9,0,9
MACE AVENUE                     ,9,0,9
COOPER STREET                   ,9,0,9
REVIEW AVENUE                   ,9,0,9
BRONXDALE AVENUE                ,9,0,9
WEST 132 STREET                 ,9,0,9
WEST 50 STREET                  ,9,0,9
LOUISIANA AVENUE                ,8,1,9
WEST 143 STREET                 ,9,0,9
36 AVENUE                       ,9,0,9
EAST 60 STREET                  ,9,0,9
EAST 104 STREET                 ,9,0,9
ESSEX STREET                    ,9,0,9
EAST 54 STREET                  ,8,0,8
EAST 236 STREET                 ,8,0,8
